

############################################### 
           Output = V19 
###############################################

###### Fitting Model #####

###### Calculating Meta-Model Estimate  ######

surface = mars 

Final Model: 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15


###### Calculating Sensitivity Indices #####

###### Calculating CDF Estimate  ######


####### Output = V19 #######

#### surface = mars ####

Estimated Model Summary: 
Model: V19 = f(V17, V8, V11, V9, V3, V13, V4, V15, V16, V12, V10, V5, V6, V7, V14)
Rsq = 1
dfmod = -1

Input	S.hat 	S.cum 	T.hat 	95% T CI 	p-val
V17	0.906 	0.906 	0.912 	(NA, NA)	NA 	
V8	0.059 	0.966 	0.059 	(NA, NA)	NA 	
V11	0.007 	0.973 	0.017 	(NA, NA)	NA 	
V9	0.014 	0.987 	0.014 	(NA, NA)	NA 	
V3	0.002 	0.989 	0.004 	(NA, NA)	NA 	
V13	0.001 	0.990 	0.004 	(NA, NA)	NA 	
V4	0.006 	0.996 	0.002 	(NA, NA)	NA 	
V15	0.004 	1.000 	0.002 	(NA, NA)	NA 	
V16	0.000 	1.000 	0.001 	(NA, NA)	NA 	
V12	0.000 	1.000 	0.001 	(NA, NA)	NA 	
V10	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V5	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V6	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V7	0.000 	1.000 	0.000 	(NA, NA)	NA 	
V14	0.000 	1.000 	0.000 	(NA, NA)	NA 	

